,runname,year,month,targetid,NAO,bathy,TidalExc,DistCoast,mean,p0,p5,p10,p20,p30,p40,p50,p60,p70,p80,p90,p95,p100
74,Jul-06,2006,jul,2,0.84,87,11270,64600,6.644155,0.07204072,2.363820553,3.098385096,4.258228779,5.215651989,5.951806068,6.587193012,7.251562595,8.045702934,9.012565613,10.39963436,11.55602741,17.303186
75,Jul-06,2006,jul,3,0.84,2,6128,1250,7.498341,4.7349358,5.404485273,5.596330547,5.793331051,5.923732281,6.100921059,6.546723843,7.836147976,8.724658966,9.97705574,11.1604641,12.42178774,15.817461
76,Jul-06,2006,jul,4,0.84,22,10606,5800,5.4914837,0.12616634,2.197056723,2.817430973,3.091030121,3.099383116,4.199341202,5.527695656,6.415862656,6.916457176,7.101360321,8.468082237,9.542684746,16.05897
77,Jul-06,2006,jul,5,0.84,50,26696,35000,8.291943,0.06522372,2.7608634,3.369405365,4.610872364,5.717496109,6.555317211,7.510310173,8.727536774,10.1363945,11.97071609,14.51670742,16.52489491,27.521248
78,Jul-06,2006,jul,6,0.84,8,20885,3500,7.09145,1.4459761,2.214928269,2.584862471,3.373373508,5.09710598,6.519429684,7.272809982,8.404583931,9.524869919,11.23333931,14.89601231,19.58213806,28.033564
79,Jul-06,2006,jul,7,0.84,45,14773,19300,7.2495465,0.10521596,2.76126647,3.375561833,4.386734962,5.532522678,6.636270046,7.92044735,9.098344803,9.79564476,11.50703526,12.68484879,13.08260298,26.614555
80,Jul-06,2006,jul,8,0.84,31,12086,22600,7.5274243,0.17472206,2.338547885,3.229370356,4.528177738,5.618048429,6.5317626,7.349032402,8.276452065,9.293394566,10.5619936,12.81000471,14.76060748,28.873796
81,Jul-06,2006,jul,9,0.84,73,8059,37700,6.1189504,0.09823333,1.919450617,2.775164175,3.991698217,4.814827108,5.491185093,6.167196751,6.878912354,7.545436621,8.283419609,9.474795437,10.45474963,16.913742
82,Jul-06,2006,jul,10,0.84,39,13488,41600,6.9939814,0.038342375,2.056000781,2.934119439,4.33706665,5.183284426,6.004411316,6.816238642,7.600961018,8.470707417,9.588436508,11.37156572,12.95959458,24.840475
83,Jul-06,2006,jul,11,0.84,42,17143,41700,7.5161705,0.10978431,2.308587956,3.213677502,4.565689659,5.547967911,6.373193741,7.180453777,8.14273262,9.281385994,10.67276707,12.64890385,14.25499296,22.085342
84,Jul-06,2006,jul,12,0.84,69,29215,32000,9.116603,0.14895393,2.400872707,3.505140305,4.994329834,6.043006992,7.15140667,8.309182167,9.65810585,11.29999905,13.37195511,16.32984734,18.71996117,28.415834
85,Jul-06,2006,jul,13,0.84,31,11632,27000,7.257076,0.109636344,2.574074841,3.454241896,4.702474689,5.698791504,6.541136074,7.312986612,8.063985252,8.885659313,9.910845184,11.54026461,12.96767139,20.179857
86,Jul-06,2006,jul,14,0.84,84,11424,36600,6.765471,0.044538047,2.316408873,3.172646379,4.314553165,5.272130299,6.015668869,6.699561119,7.43037796,8.243181992,9.229717636,10.62537136,11.77154732,18.181463
87,Jul-06,2006,jul,15,0.84,80,13004,63100,7.0843863,0.059334137,2.096079683,2.940366316,4.355755901,5.25818615,6.040605927,6.900219917,7.773592758,8.688382244,9.854788208,11.53420219,12.97906547,22.046917
88,Jul-06,2006,jul,16,0.84,67,11690,6100,7.260539,0.07332704,2.115412748,3.062531495,4.422858143,5.43762393,6.359089851,7.234169006,8.080277252,9.012922287,10.22458649,11.94336529,13.32466888,22.430021
89,Jul-06,2006,jul,17,0.84,45,22811,39800,9.152817,0.0947559,2.561431777,3.582954288,5.07520752,6.250745344,7.457507515,8.731996536,9.702773666,11.2181963,13.15395489,15.97697735,18.38664331,30.248453
90,Jul-12,2012,jul,0,-2.53,9,22616,1598,7.815156,2.6338844,3.491610479,3.997720289,5.06242094,6.253213978,6.910839367,7.550372601,8.329607582,9.318008804,10.49324398,12.13134747,13.54052629,19.956656
91,Jul-12,2012,jul,1,-2.53,2,13604,100,5.2396636,1.9084898,1.999394417,2.077200413,2.272203922,2.272203922,2.272203922,2.272203922,5.957002449,7.249216747,8.132429123,9.252781105,10.32442951,15.519217
92,Jul-12,2012,jul,2,-2.53,87,11270,64600,6.62235,0.039125513,2.179609275,3.003911304,4.18094883,5.140793419,5.913506031,6.558852434,7.249952602,8.101467419,9.118273544,10.58939981,11.78924909,18.625313
93,Jul-12,2012,jul,3,-2.53,2,6128,1250,6.1627297,4.833403,5.191458821,5.325391531,5.515695572,5.666395187,5.799069881,5.939286947,6.097632885,6.29644227,6.636765003,7.24495244,8.804502964,13.753109
94,Jul-12,2012,jul,4,-2.53,22,10606,5800,5.275648,0.065913424,2.216527569,2.753978014,3.091030121,3.091030121,3.099873781,4.625276089,5.885883236,6.681842804,7.427070618,8.602066517,9.737849331,14.763693
95,Jul-12,2012,jul,5,-2.53,50,26696,35000,8.559197,0.099065736,2.672753096,3.434756756,4.82504034,5.859361887,6.766308784,7.845592737,9.095131874,10.56649256,12.46407413,15.13524342,17.29331636,30.263615
96,Jul-12,2012,jul,6,-2.53,8,20885,3500,7.221566,1.4897288,2.388206911,2.880832529,4.664676476,6.138119221,6.8115098,7.378757954,8.334849358,9.248227119,11.43427773,17.50085907,19.58213806,19.582138
97,Jul-12,2012,jul,7,-2.53,45,14773,19300,7.5782537,0.09164569,2.531393802,3.264144087,4.385560036,5.671167707,6.79182148,8.125531197,9.289855003,9.916322136,11.83275223,12.77056599,14.60323586,27.588186
98,Jul-12,2012,jul,8,-2.53,31,12086,22600,9.015475,0.09237817,2.701686144,3.726971865,5.268937588,6.49469161,7.531707764,8.582551956,9.797194481,11.37458277,13.52664185,16.80268478,19.66118717,36.457516
99,Jul-12,2012,jul,9,-2.53,73,8059,37700,5.9616814,0.015809007,1.829636693,2.543887067,3.860300159,4.653054237,5.244556713,5.917085409,6.67299509,7.411204052,8.199274254,9.387242031,10.41099262,16.306707
100,Jul-12,2012,jul,10,-2.53,39,13488,41600,6.7783446,0.084363446,2.04973805,2.904635906,4.287858963,5.113072157,5.893013954,6.676141739,7.449381351,8.298130035,9.33248806,10.9099474,12.27747107,19.91671
101,Jul-12,2012,jul,11,-2.53,42,17143,41700,8.060082,0.14405885,2.427065051,3.285330796,4.638939953,5.73981061,6.685370064,7.609572649,8.704994774,10.04785156,11.79832554,14.39170885,16.52774515,29.249046
102,Jul-12,2012,jul,12,-2.53,69,29215,32000,9.461667,0.063366026,2.405702734,3.544579744,5.028957081,6.126618099,7.296280766,8.518623352,9.935368729,11.72809591,14.04644508,17.37889404,20.06385927,32.970448
103,Jul-12,2012,jul,13,-2.53,31,11632,27000,8.074428,0.15275627,2.72661494,3.630031013,5.020805073,6.184575224,7.168793869,8.065090179,8.976619148,10.06993294,11.52365971,13.59984941,15.38988371,25.906527
104,Jul-12,2012,jul,14,-2.53,84,11424,36600,6.9586387,0.05226808,2.302198553,3.228009176,4.344239712,5.330177021,6.157117081,6.87812233,7.63474865,8.516370392,9.616333008,11.18751259,12.46716776,19.497114
105,Jul-12,2012,jul,15,-2.53,80,13004,63100,7.037916,0.10967845,2.050010777,2.890281153,4.317253208,5.186897373,5.958841419,6.828691483,7.694128036,8.632624245,9.831455421,11.67596207,13.34182119,23.465137
106,Jul-12,2012,jul,16,-2.53,67,11690,6100,7.314515,0.10342169,2.124421597,2.943336797,4.304409981,5.296900034,6.250767326,7.160474062,8.08827095,9.122621536,10.47689991,12.38884783,13.95701284,20.85759
107,Jul-12,2012,jul,17,-2.53,45,22811,39800,10.191558,0.07361831,2.820513058,3.93275938,5.457840633,6.723620033,8.036142921,9.215078354,10.79240913,12.64934273,15.03941288,18.78231812,21.9849617,37.470917
